 IN_PITCH, IN_ROLL, IN_AZIMUTH
-0.15241764,-0.4574648,0.47695804
-0.1491478,-0.4543361,0.47848898
-0.1524026,-0.4532527,0.48175684
-0.1521577,-0.45350805,0.4819853
-0.15589675,-0.45299417,0.4832398
-0.15668792,-0.4556654,0.4830957
-0.15761143,-0.4547716,0.4831273
-0.15979235,-0.45419222,0.4818641
-0.16698371,-0.45139542,0.4852412
-0.20553553,-0.43823195,0.5025077
-0.24746536,-0.4095094,0.5457193
-0.18442075,-0.3594065,0.5538481
-0.12572241,-0.28367728,0.54789203
-0.073528826,-0.2669347,0.5579288
-0.06288602,-0.30737063,0.60238785
-0.12982902,-0.3731112,0.65351874
-0.1708631,-0.38342208,0.6767153
-0.19965659,-0.40319538,0.68736523
-0.21714094,-0.42662507,0.69598716
-0.23384081,-0.43729594,0.70108217
-0.24744625,-0.44600654,0.70520884
-0.25740469,-0.44559577,0.7062394
-0.2524554,-0.44729292,0.70020396
-0.22147703,-0.4316938,0.6833735
-0.17683175,-0.39155105,0.67267245
-0.124662235,-0.30448952,0.6709187
-0.069908395,-0.2853772,0.6320527
-0.008729083,-0.25868028,0.6006655
1.20E-04,-0.24593222,0.5883018
0.02204088,-0.22372277,0.57564104
0.06036521,-0.18660691,0.5510911
0.07334376,-0.05859671,0.6007646
0.11370542,-0.010693904,0.6024942
0.12988079,-0.013545991,0.5843982
0.14570583,0.012970391,0.5571479
0.13382736,0.014607886,0.5508537
0.1331777,0.002504346,0.5519666
0.14402428,-0.01743613,0.55621374
0.21837547,-0.05133676,0.52912813
0.28592083,-0.059896216,0.5065481
0.3083559,-0.08474837,0.4964178
0.3246807,-0.08799898,0.48749146
0.32836217,-0.112995684,0.48990604
0.2999469,-0.12415713,0.5056588
0.24952273,-0.116189405,0.53081286
0.2119982,-0.11728507,0.53741276
0.1856573,-0.12011144,0.52778023
0.16970713,-0.12332046,0.5122919
0.15307115,-0.12553357,0.48969844
0.1440182,-0.13144666,0.49104837
0.12863268,-0.136754,0.4944551
0.12896772,-0.16918063,0.4961884
0.12278464,-0.17402539,0.49739996
0.12391418,-0.1539613,0.49061564
0.12081643,-0.2382148,0.48358718
0.11043927,-0.3190654,0.4529216
0.11706287,-0.37002143,0.4446879
0.1203345,-0.38002184,0.46197012
0.13637663,-0.4186073,0.47603944
0.14037251,-0.43498048,0.48139563
0.18138061,-0.517611,0.50026953
0.21549338,-0.5592436,0.5097842
0.22721215,-0.49997148,0.4866948
0.2616741,-0.47876072,0.42325357
0.24825402,-0.38467866,0.32702714
0.2634495,-0.40636212,0.27764517
0.2700877,-0.41123268,0.23800132
0.24061078,-0.3958469,0.2229588
0.32420602,-0.38285682,0.19711836
0.21688654,-0.17642811,0.23470274
0.19406924,-0.15523629,0.21595958
0.23100762,-0.16210863,0.21282305
0.17578731,-0.14820738,0.21625385
0.16383198,-0.13590792,0.22274001
0.086544976,-0.13162754,0.26953587
-0.017916603,-0.10581665,0.30572006
-0.04222254,-0.10129966,0.31449485
-0.111130394,-0.04672276,0.34958124
-0.15794612,0.033058014,0.37669793
-0.1567944,0.094103895,0.407467
-0.15720381,0.13819012,0.4016449
-0.15065855,0.34182805,0.4699477
-0.11214051,0.3606067,0.48229772
-0.042353254,0.18188626,0.45521447
-0.022024538,-0.021501584,0.39100668
0.035935894,-0.10159873,0.31504
0.07626637,-0.16841635,0.25566384
0.10251593,-0.17644314,0.25931236
0.13152,-0.19409041,0.23292612
0.11116266,-0.16017479,0.25531358
0.16715136,-0.15085766,0.22461411
0.16343497,-0.15484042,0.18886635
0.14934245,-0.16071488,0.17349303
0.12344749,-0.116270855,0.16679043
0.109094486,-0.12910554,0.27743036
0.07916256,-0.15027487,0.47316203
0.07612587,-0.15390323,0.49720165
0.07706456,-0.1549092,0.49633723
0.07811967,-0.15578403,0.4956105
0.079077214,-0.15685555,0.49489444
0.080087505,-0.15767814,0.49418435
0.08107061,-0.1588472,0.49339885
0.08228198,-0.16027176,0.49255434
0.08335626,-0.16124874,0.4918166
0.08420087,-0.16236451,0.49115485
0.085399926,-0.16359498,0.49029604
0.086597,-0.16447823,0.48958835
0.08767616,-0.16543382,0.48874664
0.0886137,-0.16647679,0.48808125
0.089620285,-0.16721559,0.48749372
0.09080142,-0.16840328,0.48643163
0.091706984,-0.16933516,0.48576152
0.092875086,-0.17014328,0.48489898
0.093904376,-0.17122123,0.48417708
0.094902545,-0.17207079,0.48360497
0.09563849,-0.17295608,0.48294723
0.09643126,-0.1738592,0.48236567
0.097271815,-0.17466256,0.48187184
0.09833155,-0.17554936,0.48157415
0.09902289,-0.1767293,0.4811359
0.100259,-0.17789088,0.4804523
0.10101009,-0.17884134,0.47991318
0.10200008,-0.17966954,0.47928408
0.102931954,-0.18071283,0.4786432
0.10379215,-0.18179774,0.47802064
0.10461207,-0.18271686,0.47734052
0.105875894,-0.18368842,0.47658935
0.10697329,-0.18469386,0.4758435
0.10782221,-0.18545495,0.47501904
0.10880175,-0.1865902,0.47423908
0.11005749,-0.1876905,0.47341132
0.11109676,-0.18848523,0.4725952
0.112198316,-0.18948165,0.47200996
0.11330839,-0.19041668,0.47120762
0.11435215,-0.19131543,0.47038686
0.11527437,-0.19216464,0.46967316
0.116151005,-0.19305898,0.46883062
0.117215134,-0.19403103,0.46814874
0.11821453,-0.19517495,0.4673077
0.11965644,-0.19644257,0.46644545
0.12040854,-0.19737649,0.46585074
0.12132653,-0.19841106,0.46499524
0.12280062,-0.19950284,0.4641843
0.12387267,-0.20047466,0.46326223
0.1248778,-0.2018476,0.46258703
0.1257685,-0.2030077,0.4619889
0.12682417,-0.20387493,0.46130413
0.1276524,-0.20495898,0.46067512
0.12881675,-0.20598015,0.45990062
0.12977652,-0.20709933,0.45923847
0.13064326,-0.20795104,0.45817104
0.13159718,-0.20868145,0.45760867
0.13253272,-0.2096844,0.456975
0.13373971,-0.21082762,0.4561502
0.13444972,-0.2114768,0.45575154
0.13445911,-0.21138857,0.45589644
0.13444257,-0.21152899,0.45570213
0.13409506,-0.21146941,0.4559219
0.13396753,-0.21142726,0.4561163
0.13384272,-0.21126352,0.4561532
0.13378055,-0.21119525,0.45602384
0.1338546,-0.21098413,0.4558906
0.13362154,-0.21071094,0.45621735
0.1335746,-0.21076246,0.4562817
0.13361627,-0.2106437,0.45612618
0.13332872,-0.21057035,0.4562894
0.1333987,-0.21059617,0.45620614
0.13319501,-0.21067818,0.45619723
0.1332237,-0.21073443,0.45620045
0.13329953,-0.21081063,0.4564037
0.13328008,-0.21074829,0.45653588
0.13315715,-0.21065916,0.45644286
0.1330907,-0.21053775,0.45640945
0.13294609,-0.21023998,0.4562993
0.1329373,-0.21038604,0.4562436
0.13287683,-0.21036272,0.4563451
0.13309047,-0.2103041,0.45650503
0.13315624,-0.21027303,0.45658988
0.13322851,-0.2100714,0.4565544
0.13338597,-0.20982705,0.45647407
0.13330251,-0.20966378,0.45635796
0.1331272,-0.20952915,0.4564089
0.13322875,-0.2093833,0.4564434
0.13301136,-0.20929267,0.45673665
0.1329273,-0.20913678,0.4566964
0.13266197,-0.2091391,0.45699495
0.13255218,-0.20896044,0.45710757
0.1324315,-0.20895462,0.45722768
0.13219945,-0.20885593,0.45713058
0.13203786,-0.20868818,0.45711514
0.13202284,-0.20870462,0.45707688
0.13190268,-0.20863357,0.4570289
0.13185482,-0.2084119,0.45723745
0.13154915,-0.20833123,0.45732424
0.13124566,-0.20825171,0.4574908
0.13151364,-0.20804186,0.45727232
0.1312999,-0.20790276,0.4574771
0.13136877,-0.20756346,0.45760885
0.13131587,-0.2074396,0.4576009
0.13142906,-0.20723616,0.457761
0.1316711,-0.20738854,0.4577267
0.1317143,-0.20765507,0.45769498
0.13159466,-0.20748241,0.45773602
0.13153662,-0.20766288,0.45767933
0.13156538,-0.20752098,0.45767295
0.1317189,-0.2076797,0.45785153
0.13188098,-0.2077774,0.45761082
0.13172129,-0.20775957,0.45791906
0.13166294,-0.20768285,0.4579669
0.13158734,-0.20789263,0.45794767
0.13153984,-0.2079889,0.4580961
0.13164727,-0.2078213,0.45805877
0.13164312,-0.20784801,0.45777252
0.13180757,-0.2078517,0.4577789
0.13166471,-0.20764546,0.45786914
0.13165334,-0.20761795,0.45800942
0.13157178,-0.20767932,0.45786852
0.13174123,-0.20762669,0.45781928
0.13170221,-0.20755309,0.45782033
0.13157286,-0.20730494,0.45805895
0.13140745,-0.2071786,0.45787713
0.13133384,-0.2070496,0.4581671
0.13141124,-0.20697363,0.45808902
0.13122168,-0.2068119,0.45811927
0.13138919,-0.20678309,0.45811042
0.13145979,-0.20672235,0.45806813
0.13157074,-0.20679161,0.45810118
0.1317296,-0.20672533,0.45787498
0.13181718,-0.20663168,0.45788705
0.13177021,-0.20646459,0.45801634
0.13171159,-0.206614,0.45800433
0.1316399,-0.20650555,0.45787787
0.13158205,-0.20630571,0.45753923
0.13153641,-0.20602252,0.45774838
0.13130772,-0.20605457,0.457618
0.13140763,-0.20604907,0.45762587
0.13155596,-0.20591672,0.4577271
0.13181318,-0.20594664,0.45761332
0.13200437,-0.20609486,0.45770603
0.13217753,-0.2059125,0.4578327
0.13233809,-0.20604564,0.4576023
0.1324138,-0.20594497,0.4575151
0.13274989,-0.20592459,0.45742226
0.13282448,-0.2058487,0.45743242
0.1328068,-0.20594361,0.4574867
0.13291705,-0.20590253,0.4575722
0.13285065,-0.20586327,0.45764685
0.13286504,-0.20561036,0.4577545
0.13284743,-0.2055367,0.45794082
0.13276418,-0.20544459,0.45772982
0.13266243,-0.2054194,0.45756266
0.1328842,-0.2052133,0.45774856
0.13286549,-0.20518133,0.45792523
0.13291839,-0.20529486,0.45773163
0.13298276,-0.20531276,0.4577918
0.13291042,-0.2053784,0.4577408
0.13290106,-0.20532684,0.45773926
0.13289002,-0.2052518,0.4579157
0.13287467,-0.20505685,0.45788088
0.1327587,-0.20500946,0.4578977
0.13293363,-0.20495869,0.45806593
